date,nav,daily_ret
2022-07-15,1.0,
2022-07-22,0.9998,-0.019999999999997797
2022-07-29,0.9978,-0.2000400080016007
2022-08-05,1.0005,0.2705953096812985
2022-08-12,1.0014,0.08995502248876353
2022-08-19,0.9919,-0.9486718593968546
2022-08-26,0.965,-2.7119669321504225
2022-09-02,0.9562,-0.9119170984455915
2022-09-07,0.9903,3.566199539845205
2022-09-08,1.0011,1.0905786125416705
2022-09-09,0.9967,-0.4395165318150096
2022-09-13,1.0062,0.953145379753173
2022-09-14,1.0177,1.1429139336116112
2022-09-15,1.0009,-1.650781173233773
2022-09-16,1.0052,0.4296133479868347
2022-09-19,0.9956,-0.9550338241146039
2022-09-20,0.9923,-0.3314584170349577
2022-09-21,0.9871,-0.5240350700392971
2022-09-22,1.0023,1.5398642488096526
2022-09-23,1.0009,-0.1396787389005394
2022-09-26,0.9766,-2.4278149665301063
2022-09-27,0.9863,0.9932418595125947
2022-09-28,0.9539,-3.285004562506333
2022-09-29,0.9576,0.38788132927980445
2022-09-30,0.9308,-2.7986633249791226
2022-10-10,0.9172,-1.4611087236785503
2022-10-11,0.9192,0.21805494984736828
2022-10-12,0.9336,1.5665796344647376
2022-10-13,0.9424,0.9425878320479919
2022-10-14,0.9596,1.8251273344652041
2022-10-17,0.9815,2.2822009170487823
2022-10-18,0.9832,0.1732042791645405
2022-10-19,0.9784,-0.4882017900732172
2022-10-20,0.9782,-0.020441537203608195
2022-10-21,0.9753,-0.29646289102432943
2022-10-24,1.0198,4.5626986568235495
2022-10-25,1.021,0.1176701313982953
2022-10-26,1.0296,0.8423114593535841
2022-10-27,1.0177,-1.1557886557886587
2022-10-28,1.0131,-0.4519996069568766
2022-10-31,1.0284,1.510216168196643
2022-11-01,1.0083,-1.9544924154025645
2022-11-02,0.9922,-1.5967469999008221
2022-11-03,1.0042,1.2094335819391233
2022-11-04,1.0023,-0.18920533758215452
2022-11-07,0.9785,-2.374538561308981
2022-11-08,0.9799,0.14307613694430898
2022-11-09,0.9733,-0.6735381161342979
2022-11-10,0.9541,-1.972670296927992
2022-11-11,0.9587,0.4821297557908055
2022-11-14,0.945,-1.429018462501308
2022-11-15,0.9573,1.3015873015873147
2022-11-16,0.9549,-0.25070510811658897
2022-11-17,0.9549,0.0
2022-11-18,0.9407,-1.487066708555873
2022-11-21,0.9506,1.0524077814393573
2022-11-22,0.9469,-0.38922785609089017
2022-11-23,0.9461,-0.08448621818565316
2022-11-24,0.9391,-0.7398795053377039
2022-11-25,0.9232,-1.6931104248748774
2022-11-28,0.9267,0.3791161178509528
2022-11-29,0.9172,-1.0251429804683188
2022-11-30,0.9165,-0.07631923244657557
2022-12-01,0.9268,1.1238406983087756
2022-12-02,0.917,-1.0574018126888185
2022-12-05,0.9094,-0.8287895310796101
2022-12-06,0.915,0.6157906311853978
2022-12-07,0.9127,-0.25136612021858795
2022-12-08,0.8987,-1.5339103758080341
2022-12-09,0.898,-0.07789028596862924
2022-12-12,0.9103,1.3697104677060201
2022-12-13,0.895,-1.680764583104466
2022-12-14,0.8904,-0.5139664804469368
2022-12-15,0.8929,0.28077268643307285
2022-12-16,0.8812,-1.310337103819026
2022-12-19,0.876,-0.5901044030866998
2022-12-20,0.8757,-0.034246575342467
2022-12-21,0.8611,-1.6672376384606613
2022-12-22,0.8508,-1.1961444663802112
2022-12-23,0.8399,-1.2811471556182452
2022-12-26,0.8721,3.8337897368734275
2022-12-27,0.8825,1.1925237931429855
2022-12-28,0.8716,-1.2351274787535282
2022-12-29,0.8863,1.6865534648921487
2022-12-30,0.8842,-0.23694008800632105
2022-12-31,0.8842,0.0
2023-01-03,0.9106,2.985749830355111
2023-01-04,0.9046,-0.6589062156819647
2023-01-05,0.9066,0.22109219544550474
2023-01-06,0.8988,-0.8603573792190566
2023-01-09,0.8793,-2.1695594125500706
2023-01-10,0.8723,-0.7960877971113445
